MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.15,0.60,0.50,74127079,53404048,24151050,15205457,4632942,0,9265885,0,1494,835,26276899,25610626,17956826,"[]","[10,]",4632942,401,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.17,0.60,0.50,66453605,44795521,23768428,16198520,4153350,0,8306701,0,1530,871,27566201,26201105,15486938,"[]","[8,]",4153350,221,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.10,0.60,0.50,64009896,46471187,27767350,27682164,4000618,0,8001237,0,1345,813,21554461,19738200,9887550,"[]","[4,]",4000618,204,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.07,0.60,0.50,71726373,52822970,32468325,32724415,4482898,0,8965797,0,1332,828,23442013,20237141,11858867,"[]","[6,]",4482898,178,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.11,0.60,0.50,69304041,47417035,33828864,34526356,4331503,0,8663005,0,1373,800,26285204,23272164,10911858,"[]","[6,]",4331503,214,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.22,0.60,0.50,69164261,41977681,30317502,19767984,4322766,0,8645533,0,1663,877,32467045,29718413,20985984,"[]","[9,]",4322766,220,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.04,0.60,0.50,61622885,38445491,27391532,32027286,3851430,0,7702861,0,1292,789,27065062,22073705,8022227,"[]","[4,]",3851430,227,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.20,0.60,0.50,67508648,46561463,28372295,20020193,4219290,0,8438581,0,1512,857,26167449,24684246,17272913,"[]","[8,]",4219290,260,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.23,0.60,0.50,59623539,39434561,27496979,14832055,3726471,0,7452942,0,1759,942,26049627,23719604,20313712,"[]","[10,]",3726471,272,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.24,0.60,0.50,57009731,38388113,27477497,12175802,3563108,0,7126216,0,1662,915,25293901,24188032,20424605,"[]","[10,]",3563108,274,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.08,0.60,0.50,71872003,45854498,26037253,23079673,4492000,0,8984000,0,1416,819,30700422,29540153,12910932,"[]","[6,]",4492000,304,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.88,0.60,0.50,55614909,55582372,25222083,250,3475932,3462762,6951864,21765026,672,43,371730,3051833,7402544,"[]","[]",13169,115,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.94,0.60,0.50,56908903,56894213,30619752,0,3556806,3543046,7113613,25224530,640,26,225306,3115125,9422161,"[]","[]",13761,111,A
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.75,0.60,0.50,66227755,66169978,28493838,157,4139235,4118093,8278469,22660033,785,130,1223746,3815883,10375151,"[]","[]",21141,195,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.81,0.60,0.50,57302848,57263786,25113038,74,3581428,3555782,7162856,20166817,733,88,726968,3971536,8202174,"[]","[]",25646,183,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.78,0.60,0.50,51115489,51034376,26645097,796,3194718,3153719,6389436,20468169,733,88,888706,3922666,8765014,"[]","[]",40999,155,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.68,0.60,0.50,54604773,54514127,33368182,194,3412798,3356896,6825597,24595804,858,168,1305214,4337729,11406600,"[]","[]",55903,210,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.65,0.60,0.50,63586821,63437912,29930229,279,3974176,3874963,7948353,20719749,926,198,1536575,5024104,12382572,"[]","[]",99213,195,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.62,0.60,0.50,54709864,54560659,23874846,357,3419366,3307984,6838733,16285019,970,224,1863020,4829088,9859702,"[]","[]",111382,243,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,55840947,55572128,26732201,438,3490059,3276795,6980118,15163499,1161,377,3481143,5887950,13142515,"[]","[]",213264,324,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.95,0.60,0.50,51621210,51615751,31221854,150,3226326,3224337,6452651,26119210,631,23,107996,2626931,8935661,"[]","[]",1989,110,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.89,0.60,0.50,70310490,70293853,29132190,151,4394406,4382563,8788811,26066651,664,41,185985,3003377,8879304,"[]","[]",11843,159,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.76,0.60,0.50,65929205,65883796,29019248,590,4120575,4096506,8241151,21404251,810,136,1065963,4129431,11795604,"[]","[]",24070,190,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.82,0.60,0.50,65939325,65872253,42511297,232,4121208,4107131,8242416,25995593,730,88,755187,3297622,21541414,"[]","[]",14077,203,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.80,0.60,0.50,69305412,69226895,33506296,142,4331588,4300701,8663176,25947845,746,95,864490,3669337,12661552,"[]","[]",30887,144,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.79,0.60,0.50,58434102,58354836,43116694,74,3652131,3625961,7304263,28179114,759,95,913826,4777573,17569633,"[]","[]",26171,223,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.69,0.60,0.50,73331691,73245176,35957498,435,4583231,4521282,9166461,25978322,868,158,1165618,4273699,15019967,"[]","[]",61949,203,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.63,0.60,0.50,67264932,67118279,31448240,289,4204058,4099498,8408116,22148606,919,204,1626995,4963706,12994967,"[]","[]",104560,233,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.96,0.60,0.50,68065732,68063870,27112903,294,4254108,4252108,8508216,24655653,628,15,115928,2994267,7974768,"[]","[]",2000,105,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.90,0.60,0.50,68238307,68193921,28464724,229,4264894,4232950,8529788,23028184,698,64,508803,3343067,10699363,"[]","[]",31944,208,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.77,0.60,0.50,55788453,55706509,24808009,165,3486778,3458572,6973557,19611853,793,113,911418,3771402,8508295,"[]","[]",28206,152,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.51,0.60,0.50,66862088,66521677,25298396,525,4178881,3849002,8357761,13027214,1194,384,4011475,6518068,14780640,"[]","[]",329878,174,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.83,0.60,0.50,70493250,70468859,25617739,514,4405828,4391326,8811656,22288422,720,82,692117,3963182,8216170,"[]","[]",14503,159,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.71,0.60,0.50,57406951,57331271,26225154,716,3587934,3564070,7175869,19896859,820,135,1190433,3893442,9709550,"[]","[]",23864,148,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.97,0.60,0.50,75458204,75454459,31540037,304,4716138,4714377,9432276,29349316,609,6,45400,2998692,8629505,"[]","[]",1761,183,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.64,0.60,0.50,64244941,64055925,35498033,36,4015309,3914858,8030618,20603428,990,234,1858175,5502869,17711783,"[]","[]",100450,176,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.70,0.60,0.50,61838677,61721484,30977928,745,3864917,3810715,7729835,21602098,874,157,1915147,4693740,12582574,"[]","[]",54203,214,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.91,0.60,0.50,58440046,58428226,35039796,0,3652503,3650750,7305006,27092024,675,44,439976,3447793,11818557,"[]","[]",1753,61,A
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.92,0.60,0.50,67078551,67042142,30871811,186,4192409,4186661,8384819,27193552,648,34,276980,3121364,8983686,"[]","[]",5749,177,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.84,0.60,0.50,74453539,74441362,34704300,265,4653346,4646675,9306692,28702943,720,82,664915,3562356,11764276,"[]","[]",6671,103,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.72,0.60,0.50,72729409,72657617,25639063,180,4545588,4496021,9091176,20582406,842,152,1328742,4299253,9969758,"[]","[]",49567,194,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.93,0.60,0.50,61685035,61657840,29837581,0,3855315,3852402,7710629,25250677,647,29,287512,3179431,9148210,"[]","[]",2913,69,A
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.98,0.60,0.50,53580004,53576184,24462738,123,3348750,3348000,6697501,21672058,614,10,40247,3013123,6479505,"[]","[]",750,179,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.99,0.60,0.50,54873703,54843282,27037759,267,3429606,3400333,6859213,23251139,611,11,227302,3278528,7426732,"[]","[]",29274,113,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.66,0.60,0.50,64942465,64714839,40218736,1454,4058904,3893360,8117808,27191886,926,224,2509885,5028806,16507569,"[]","[]",165544,225,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.52,0.60,0.50,60014806,59714265,37354033,1138,3750925,3517909,7501851,17008573,1142,365,2936979,5555310,22824419,"[]","[]",233016,403,E
