MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
1.0,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,0,0,24877628,24877628,19036848,19036848,38073696,38073696,0,0,0,0,0,"[1,]","[]",0,2,D
0.8,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,13277198,13277198,28083262,28083262,16205991,16205991,32411983,32411983,0,0,0,0,0,"[1,]","[]",0,50,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,3871852,3871852,26079783,26079783,18391298,18391298,36782595,36782595,0,0,0,0,0,"[1,]","[]",0,50,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,68655656,68236930,26754813,368,5126883,4797337,10253767,17938436,1219,409,3665525,5892131,13925915,"[]","[]",329547,162,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,1354750,1354750,26755505,26755505,16595691,16595691,33191382,33191382,0,0,0,0,0,"[1,]","[]",0,50,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,6495487,6495487,32143595,32143595,16419149,16419149,32838297,32838297,0,0,0,0,0,"[1,]","[]",0,50,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,3022133,3022133,33351701,33351701,18132796,18132796,36265593,36265593,0,0,0,0,0,"[1,]","[]",0,50,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,60968555,60661276,31075636,925,4813307,4579531,9626614,20388905,1128,344,2863750,5805447,15048028,"[]","[]",233776,306,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,5967434,5967434,21403468,21403468,17156372,17156372,34312744,34312744,0,0,0,0,0,"[1,]","[]",0,50,E
0.3,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,59305693,58734640,24879548,167648,8339863,7772179,16679726,23991858,1039,377,3854806,6705746,11832759,"[]","[]",567684,385,E
0.9,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,4975311,4975311,30919653,30919653,16525141,16525141,33050282,33050282,0,0,0,0,0,"[1,]","[]",0,50,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,46375328,46020636,42704991,196538,7729221,7372918,15458443,33932577,982,346,2973852,6683045,18062270,"[]","[]",356304,636,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,38970802,38184783,29390558,9740138,7349756,6237812,14699513,22533722,436,146,2718771,5834363,7879811,"[]","[]",1111944,265,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,40915853,40394455,31683224,22088001,8713561,7949369,17427122,20374350,192,65,1324377,2455260,5478326,"[]","[]",764193,141,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,40866542,40692643,24577205,21664763,9430741,9169891,18861481,20256585,82,25,434749,797066,1155022,"[]","[]",260849,85,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,47462964,46687713,26525888,904334,8245685,7396586,16491369,22129403,857,316,5123800,9766255,11841615,"[]","[]",849098,427,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,42623535,42529617,29309724,25237098,10238006,10099647,20476012,22316282,77,20,256147,600975,1863659,"[]","[]",138359,132,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,41080296,40732800,32021946,23258511,9107424,8605073,18214848,21897348,156,48,890690,2395984,3534798,"[]","[]",502351,154,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,49287948,48381438,23734225,5968843,8922818,7832256,17845636,21952000,546,196,3478057,7037620,8618470,"[]","[]",1090562,379,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,44726162,43930681,27581041,16386295,8785496,7612269,17570992,19051650,286,113,2378454,4816616,6866180,"[]","[]",1173227,213,E
0.4,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,43230337,42740890,27874804,17624531,8842569,8111236,17685138,21316121,221,83,1295035,2952605,4887464,"[]","[]",731333,168,E
