MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.71,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,56435888,56056603,27210824,255,3527243,3233625,7054486,11166226,1448,474,4040100,6500806,17270926,"[]","[]",293618,555,E
0.20,0.21,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62272701,62076989,7266843,785,3892044,3741548,7784088,8415897,431,147,1632875,2588519,4391938,"[]","[]",150496,117,E
0.20,0.11,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,66221790,66092887,7408278,479,4138862,4032013,8277724,9910764,235,88,1220232,1460880,4549632,"[]","[]",106849,145,E
0.20,0.16,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,75872165,75731272,7527418,21,4742010,4588231,9484021,11784907,331,115,1132440,1781613,3739571,"[]","[]",153780,181,E
0.20,0.42,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62739771,62511040,21219888,641,3921236,3713302,7842471,12691800,848,261,2350067,4946045,11860538,"[]","[]",207934,151,E
0.20,0.23,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,53388616,53268944,12254225,192,3336789,3283885,6673577,10717971,440,140,1221547,2489771,5892443,"[]","[]",52903,120,E
0.20,0.54,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63935233,63659227,24698844,225,3995952,3771952,7991904,14167845,1087,343,3137745,5668439,13354245,"[]","[]",224000,259,E
0.20,0.22,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,77992317,77812575,9508960,366,4874520,4741131,9749040,11196249,451,152,1894140,2672781,5701735,"[]","[]",133389,324,E
0.20,0.24,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63310833,63182144,9148455,43,3956927,3848845,7913854,9761040,491,168,1113517,2524654,5013343,"[]","[]",108082,203,E
0.20,0.43,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,87784921,87371553,20271830,407,5486558,5172863,10973115,16542349,888,309,3286606,5020071,10409180,"[]","[]",313694,243,E
0.20,0.56,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62812889,62464486,22006087,428,3925806,3688157,7851611,14455260,1117,368,2980638,5151760,10836303,"[]","[]",237649,320,E
0.20,0.44,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,72980996,72726658,19485303,203,4561312,4330736,9122625,12491074,862,257,2995608,4849754,11751810,"[]","[]",230576,347,E
0.20,0.78,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,72572635,72133133,44485350,2425,4535790,4231191,9071579,21453234,1551,492,4564136,10230954,22614418,"[]","[]",304599,436,E
0.20,0.67,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,68342790,67935432,47397282,395,4271424,3955861,8542849,16402355,1368,445,4391605,8427986,31832317,"[]","[]",315564,332,E
0.20,0.45,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,66548718,66344786,19709811,824,4159295,3988252,8318590,13485863,894,294,2334352,5142264,9774424,"[]","[]",171043,291,E
0.20,0.55,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,53744444,53450780,27472845,332,3359028,3131710,6718055,11245344,1130,375,2981336,5058265,18407941,"[]","[]",227318,347,E
0.20,0.57,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,58270196,57960542,25753801,419,3641887,3383225,7283775,12277402,1132,355,3464899,6335240,14992831,"[]","[]",258662,383,E
0.20,0.74,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,65595035,64989115,29192498,2109,4099690,3567411,8199379,13458349,1501,504,5223496,8082795,16986822,"[]","[]",532279,240,E
0.20,0.46,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,59995424,59833723,21335545,370,3749714,3628292,7499428,13555425,899,277,1991416,4570435,10991866,"[]","[]",121422,186,E
0.20,0.17,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,69471676,69398893,5846583,69,4341980,4279732,8683960,10738365,303,92,773031,1472763,2454376,"[]","[]",62248,185,E
0.20,0.73,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,59682388,59250723,33820766,460,3730149,3437875,7460298,13079959,1447,480,4294700,8194000,20730585,"[]","[]",292275,331,E
0.20,0.58,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,59071065,58724329,30735118,2154,3691942,3396084,7383883,13797115,1130,372,3986917,6590592,18371734,"[]","[]",295858,255,E
0.20,0.59,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62699754,62394300,26904788,129,3918735,3687830,7837469,13288651,1167,372,3205537,5540093,16449743,"[]","[]",230904,324,E
0.20,0.47,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,64041996,63852681,19656278,439,4002625,3840817,8005250,12786363,910,286,2850681,4951780,10274068,"[]","[]",161807,299,E
0.20,0.79,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,78463112,77842295,34939989,363,4903944,4449485,9807889,20336443,1545,477,4776810,8468538,17017811,"[]","[]",454459,494,E
0.20,0.81,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,78431420,77910088,34954550,1671,4901964,4498331,9803927,18951594,1581,523,4443122,8110691,18619486,"[]","[]",403633,331,E
0.20,0.72,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,76063878,51509543,51938519,40233570,4753992,0,9507985,0,1678,851,29709408,29625869,20895392,"[]","[9,]",4753992,235,E
0.20,0.48,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63168674,62876953,24099423,167,3948042,3712543,7896084,14535839,939,298,2609492,4854897,13131825,"[]","[]",235499,284,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,51517145,51248217,24861389,62,3219822,3010834,6439643,13241164,1149,355,3256641,5589009,12948714,"[]","[]",208988,259,E
0.20,0.88,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,61528619,61000312,46752501,1382,3845539,3456890,7691077,22282078,1740,549,5099027,9613520,23463555,"[]","[]",388649,298,E
0.20,0.80,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,67622733,66912795,27648260,875,4226421,3727527,8452842,13276897,1603,520,5548123,8740756,15291407,"[]","[]",498894,367,E
